iter	Logloss
0	0.6810254437
1	0.6695879916
2	0.6590134661
3	0.6481375989
4	0.6378903159
5	0.6279639395
6	0.6191038861
7	0.6085788531
8	0.5990022928
9	0.5902215803
10	0.5809343174
11	0.570123329
12	0.5619354815
13	0.5541548511
14	0.546502494
15	0.5385642571
16	0.5313081458
17	0.5237097044
18	0.5173542311
19	0.5109058471
20	0.5043363341
21	0.498083497
22	0.4913951253
23	0.4855815337
24	0.4790376212
25	0.4724817335
26	0.4671352969
27	0.4613786254
28	0.4557223692
29	0.4488369536
30	0.4430530363
31	0.438417571
32	0.4334789441
33	0.4297564295
34	0.4241397531
35	0.4189623706
36	0.4139980143
37	0.4102264094
38	0.4057675361
39	0.4012271603
40	0.397300568
41	0.3927535131
42	0.388864331
43	0.3852877664
44	0.3814522347
45	0.3767251113
46	0.3731366133
47	0.3687129089
48	0.3653679585
49	0.3623201443
