iter	Passed	Remaining
0	16	1599
1	31	1540
2	45	1463
3	48	1154
4	62	1186
5	75	1183
6	89	1184
7	102	1177
8	116	1176
9	129	1167
10	143	1162
11	157	1156
12	171	1148
13	185	1139
14	199	1129
15	212	1114
16	225	1103
17	239	1090
18	252	1077
19	265	1063
20	280	1053
21	293	1042
22	307	1028
23	313	993
24	327	983
25	341	971
26	355	960
27	368	947
28	382	936
29	396	925
30	409	911
31	422	897
32	435	885
33	449	872
34	455	846
35	469	834
36	483	823
37	496	810
38	510	797
39	523	785
40	536	771
41	550	759
42	564	748
43	578	736
44	592	724
45	606	711
46	619	699
47	634	687
48	647	673
49	661	661
50	675	649
51	689	636
52	702	622
53	715	609
54	729	596
55	742	583
56	756	570
57	769	557
58	783	544
59	797	531
60	810	518
61	824	505
62	837	492
63	841	473
64	856	461
65	870	448
66	883	435
67	897	422
68	912	409
69	927	397
70	940	384
71	955	371
72	969	358
73	982	345
74	997	332
75	1012	319
76	1027	306
77	1040	293
78	1054	280
79	1068	267
80	1081	253
81	1095	240
82	1102	225
83	1105	210
84	1119	197
85	1132	184
86	1147	171
87	1161	158
88	1175	145
89	1189	132
90	1202	118
91	1215	105
92	1228	92
93	1242	79
94	1256	66
95	1270	52
96	1284	39
97	1299	26
98	1314	13
99	1328	0
